race,sex,sl,yc,h_cm,hw_k,es,y
W,F,N,N,162.9,249.1,86.3,1
W,F,N,N,163.0,238.4,87.4,1
W,F,N,N,167.3,164.9,83.7,0
B,M,N,Y,172.2,63.1,87.6,1
B,F,N,N,154.8,97.7,83.9,0
W,F,N,N,160.0,239.6,82.6,0
W,M,N,Y,188.8,170.9,88.1,1
B,M,N,Y,173.2,116.9,88.6,1
A,M,Y,Y,187.5,306.5,81.5,0
W,F,N,N,157.0,144.5,85.9,1
A,M,Y,Y,197.2,279.2,81.2,0
A,F,Y,N,150.0,315.5,82.0,0
B,F,N,N,166.6,98.9,83.1,0
B,F,N,N,166.5,119.5,87.1,1
B,M,N,Y,196.2,93.2,88.9,1
A,F,Y,N,152.0,321.2,89.8,1
B,F,N,N,165.0,77.1,85.8,1
B,F,N,N,152.3,64.3,89.3,1
W,M,N,Y,182.3,211.0,83.7,0
A,F,Y,N,153.7,324.8,84.0,0
A,F,Y,N,163.4,284.6,82.0,0
A,M,Y,Y,186.5,290.0,82.5,0
B,F,N,N,160.9,105.6,89.3,1
B,M,N,Y,185.2,98.8,86.6,1
B,F,N,N,159.5,121.2,86.0,1
A,F,Y,N,154.6,321.9,89.7,1
B,M,N,Y,197.0,61.7,87.5,1
B,F,N,N,163.3,79.0,85.5,1
B,F,N,N,165.1,68.1,82.2,0
W,F,N,N,158.0,240.2,82.9,0
A,F,Y,N,157.1,344.5,87.6,1
W,M,N,Y,176.8,244.5,84.5,0
B,M,N,Y,177.6,119.0,88.6,1
A,F,Y,N,153.0,310.4,85.2,1
A,F,Y,N,161.9,317.1,87.6,1
W,M,N,Y,179.7,140.9,85.8,1
W,F,N,N,151.7,264.8,89.8,1
A,F,Y,N,151.8,344.1,88.0,1
A,F,Y,N,159.8,344.0,81.5,0
A,M,Y,Y,192.0,326.7,82.9,0
W,F,N,N,152.8,143.9,87.4,1
W,F,N,N,166.9,129.0,83.7,0
A,F,Y,N,153.1,306.0,83.4,0
B,M,N,Y,177.9,65.3,89.7,1
W,F,N,N,164.6,254.9,83.4,0
W,F,N,N,166.6,230.3,86.1,1
W,F,N,N,159.3,143.1,89.8,1
A,M,Y,Y,186.1,306.7,87.6,1
B,F,N,N,156.0,104.6,82.0,0
B,F,N,N,166.8,57.3,80.4,0
W,M,N,Y,190.3,153.4,82.6,0
W,M,N,Y,190.9,169.8,80.9,0
B,M,N,Y,186.1,116.7,83.5,0
B,M,N,Y,183.8,124.4,89.7,1
W,M,N,Y,184.6,189.4,86.9,1
B,F,N,N,159.7,81.4,83.7,0
W,F,N,N,166.9,264.8,82.6,0
W,M,N,Y,178.6,140.9,82.0,0
A,M,Y,Y,190.9,306.5,83.1,0
B,F,N,N,150.2,122.5,82.7,0
A,M,Y,Y,184.3,338.9,82.8,0
A,M,Y,Y,179.3,276.9,86.1,1
W,M,N,Y,173.9,269.6,84.3,0
W,M,N,Y,181.1,249.2,86.1,1
A,F,Y,N,156.3,287.2,87.1,1
B,M,N,Y,191.1,93.9,89.3,1
W,F,N,N,164.7,206.9,82.1,0
A,F,Y,N,160.5,339.9,84.1,0
A,F,Y,N,155.7,290.7,84.0,0
A,M,Y,Y,193.2,334.9,82.9,0
B,M,N,Y,191.0,53.4,86.8,1
W,M,N,Y,197.0,147.0,88.7,1
A,F,Y,N,167.0,304.9,85.4,1
A,M,Y,Y,187.1,302.7,86.5,1
W,M,N,Y,193.5,236.9,80.6,0
B,F,N,N,161.7,90.1,83.7,0
B,F,N,N,158.2,81.4,84.7,0
A,M,Y,Y,190.6,278.4,81.6,0
W,F,N,N,157.4,152.4,89.9,1
W,M,N,Y,191.0,228.9,87.3,1
A,F,Y,N,152.0,316.6,87.7,1
B,M,N,Y,188.2,76.8,80.9,0
B,M,N,Y,184.0,92.6,86.1,1
B,F,N,N,159.2,93.2,83.1,0
A,F,Y,N,155.9,279.6,88.8,1
B,M,N,Y,195.9,122.1,88.1,1
A,M,Y,Y,172.7,302.5,85.8,1
B,F,N,N,158.4,61.2,88.3,1
B,M,N,Y,189.9,107.6,84.4,0
A,F,Y,N,159.0,349.0,89.5,1
A,F,Y,N,161.7,304.7,81.5,0
W,M,N,Y,181.7,250.9,81.6,0
W,F,N,N,162.1,257.9,81.8,0
B,M,N,Y,200.0,105.3,80.7,0
B,M,N,Y,190.7,117.3,84.7,0
A,F,Y,N,150.3,313.9,82.5,0
W,M,N,Y,185.4,196.0,87.1,1
W,M,N,Y,197.8,200.2,80.3,0
W,F,N,N,158.9,148.8,86.8,1
W,M,N,Y,188.4,218.5,82.6,0
A,F,Y,N,159.8,285.1,86.0,1
A,M,Y,Y,182.8,283.3,89.1,1
A,M,Y,Y,179.2,281.3,81.5,0
W,F,N,N,152.0,141.7,80.7,0
A,F,Y,N,157.6,311.7,86.4,1
W,F,N,N,156.5,167.8,83.2,0
B,M,N,Y,187.2,63.3,81.1,0
B,M,N,Y,171.7,90.8,87.8,1
A,M,Y,Y,186.2,326.2,85.7,1
A,F,Y,N,161.7,301.5,80.9,0
B,F,N,N,152.8,122.0,81.8,0
A,F,Y,N,164.0,318.3,89.6,1
A,F,Y,N,156.0,286.9,89.9,1
A,M,Y,Y,196.7,318.5,88.4,1
W,M,N,Y,171.1,138.0,86.3,1
W,F,N,N,155.5,150.0,88.3,1
W,F,N,N,161.8,238.6,80.4,0
W,F,N,N,167.0,166.0,82.1,0
A,M,Y,Y,179.9,336.7,80.4,0
W,F,N,N,157.1,204.9,82.2,0
A,M,Y,Y,177.1,323.3,87.6,1
W,F,N,N,155.0,166.0,86.9,1
B,M,N,Y,176.4,84.2,89.8,1
B,M,N,Y,192.8,51.4,82.8,0
A,F,Y,N,151.9,318.1,81.1,0
B,M,N,Y,182.7,53.5,87.1,1
W,F,N,N,167.2,151.4,81.5,0
A,F,Y,N,166.5,284.6,86.6,1
W,F,N,N,159.1,263.4,84.3,0
W,F,N,N,152.3,245.6,81.5,0
W,F,N,N,159.4,209.8,87.5,1
W,F,N,N,162.0,257.3,86.7,1
W,F,N,N,156.8,229.3,83.3,0
A,M,Y,Y,194.9,315.2,82.9,0
B,F,N,N,158.0,95.9,86.7,1
B,F,N,N,157.1,97.2,84.9,0
W,M,N,Y,184.2,164.7,83.0,0
W,F,N,N,161.4,127.7,80.1,0
B,F,N,N,167.3,52.5,84.5,0
W,F,N,N,166.4,247.2,87.4,1
B,F,N,N,152.2,101.7,89.1,1
W,M,N,Y,185.5,266.1,84.3,0
B,M,N,Y,179.9,69.4,88.7,1
A,M,Y,Y,195.6,347.0,83.7,0
W,M,N,Y,174.7,144.3,89.5,1
B,F,N,N,159.8,54.4,81.6,0
A,F,Y,N,163.4,277.8,85.7,1
B,M,N,Y,183.3,67.7,82.3,0
A,M,Y,Y,183.7,347.8,87.7,1
A,M,Y,Y,182.2,311.3,82.0,0
W,M,N,Y,191.8,232.5,86.4,1
W,F,N,N,165.4,270.2,81.2,0
A,M,Y,Y,188.0,307.0,84.7,0
B,F,N,N,167.9,96.1,83.5,0
B,F,N,N,159.7,123.9,81.7,0
B,F,N,N,160.7,68.5,86.3,1
A,M,Y,Y,198.3,336.5,86.4,1
A,F,Y,N,153.0,303.5,82.2,0
B,F,N,N,158.4,79.0,89.5,1
B,F,N,N,159.7,93.7,84.0,0
W,M,N,Y,168.8,210.2,87.2,1
B,F,N,N,168.1,79.4,83.7,0
B,F,N,N,163.3,73.4,87.8,1
W,F,N,N,164.1,227.9,82.9,0
W,F,N,N,163.9,203.4,86.3,1
A,F,Y,N,153.4,276.1,89.8,1
A,F,Y,N,154.5,311.3,82.7,0
A,F,Y,N,159.4,303.4,87.6,1
B,M,N,Y,181.6,95.4,81.3,0
W,F,N,N,151.8,263.4,87.6,1
B,F,N,N,161.9,71.0,89.2,1
A,M,Y,Y,173.2,301.9,82.2,0
A,M,Y,Y,187.8,289.8,85.9,1
W,F,N,N,153.4,159.4,89.8,1
W,F,N,N,162.4,134.1,81.7,0
A,M,Y,Y,177.0,348.3,80.2,0
A,M,Y,Y,174.4,276.8,80.9,0
A,F,Y,N,154.7,317.8,90.0,1
W,M,N,Y,191.5,236.2,89.2,1
A,M,Y,Y,194.4,343.2,83.0,0
A,F,Y,N,152.4,338.4,85.3,1
A,M,Y,Y,188.9,285.6,85.2,1
A,M,Y,Y,181.7,331.0,88.2,1
A,M,Y,Y,170.1,301.7,83.3,0
B,F,N,N,152.4,109.8,87.2,1
W,M,N,Y,176.8,265.5,86.6,1
W,F,N,N,153.2,221.1,82.9,0
B,M,N,Y,168.6,52.0,85.0,1
W,F,N,N,155.5,148.1,87.5,1
W,F,N,N,160.9,247.5,84.7,0
B,F,N,N,157.3,78.7,80.4,0
B,M,N,Y,170.0,78.4,80.3,0
A,M,Y,Y,189.4,278.4,84.0,0
W,M,N,Y,170.8,132.4,84.7,0
W,F,N,N,160.7,231.5,81.7,0
A,F,Y,N,166.0,336.8,88.9,1
B,F,N,N,158.3,107.4,83.6,0
B,M,N,Y,193.8,70.7,85.7,1
A,F,Y,N,159.5,280.8,84.6,0
A,M,Y,Y,180.1,322.0,83.5,0
A,M,Y,Y,177.7,330.3,84.5,0
B,F,N,N,161.3,78.1,81.7,0
W,M,N,Y,169.1,216.8,87.7,1
W,M,N,Y,184.3,266.8,84.4,0
W,M,N,Y,177.1,164.9,89.8,1
A,F,Y,N,150.8,305.3,87.4,1
A,M,Y,Y,182.0,299.2,82.5,0
B,F,N,N,158.6,82.4,86.0,1
A,M,Y,Y,190.6,295.5,88.2,1
B,F,N,N,159.9,102.5,88.5,1
A,M,Y,Y,189.8,343.6,88.0,1
W,F,N,N,153.2,195.6,89.6,1
A,M,Y,Y,176.7,297.2,80.8,0
A,M,Y,Y,171.3,297.4,83.7,0
B,M,N,Y,199.6,93.6,82.5,0
B,F,N,N,151.9,123.8,88.6,1
B,M,N,Y,173.7,76.7,81.0,0
B,M,N,Y,183.8,57.1,85.3,1
A,F,Y,N,154.3,278.7,80.8,0
B,M,N,Y,194.7,69.7,84.2,0
A,M,Y,Y,173.1,280.0,89.8,1
B,F,N,N,151.9,60.1,86.1,1
A,F,Y,N,167.0,316.1,83.9,0
A,F,Y,N,161.8,284.2,88.3,1
B,M,N,Y,199.3,101.6,88.5,1
W,M,N,Y,184.0,173.3,83.7,0
A,M,Y,Y,189.8,322.0,82.5,0
A,M,Y,Y,195.7,322.0,81.5,0
B,M,N,Y,188.0,110.7,82.7,0
A,M,Y,Y,190.7,335.9,83.9,0
A,F,Y,N,153.2,326.1,83.2,0
A,M,Y,Y,198.3,326.2,89.1,1
B,F,N,N,155.8,105.4,84.1,0
B,F,N,N,166.9,67.5,84.1,0
W,M,N,Y,169.4,168.6,81.4,0
A,M,Y,Y,198.1,295.1,84.8,0
W,M,N,Y,189.9,200.3,84.8,0
B,F,N,N,158.0,117.7,85.8,1
W,F,N,N,155.4,199.4,88.2,1
A,M,Y,Y,194.3,303.8,85.8,1
W,F,N,N,153.7,150.3,82.8,0
W,F,N,N,154.5,264.4,89.8,1
A,M,Y,Y,186.9,338.9,82.9,0
B,M,N,Y,193.5,71.2,85.3,1
B,M,N,Y,190.5,75.1,80.4,0
B,M,N,Y,174.4,52.8,87.6,1
W,F,N,N,161.4,141.2,83.2,0
B,M,N,Y,180.5,116.5,80.1,0
W,M,N,Y,184.9,144.0,83.1,0
A,F,Y,N,155.1,329.3,82.8,0
W,M,N,Y,198.6,136.8,86.7,1
A,F,Y,N,159.4,335.9,82.1,0
A,F,Y,N,160.5,300.9,86.3,1
W,F,N,N,155.4,158.1,86.7,1
B,F,N,N,152.7,67.2,88.4,1
B,M,N,Y,188.5,72.5,82.5,0
W,F,N,N,162.4,227.0,88.8,1
A,F,Y,N,165.6,341.2,80.4,0
B,M,N,Y,199.0,87.2,89.3,1
A,F,Y,N,150.4,346.5,84.8,0
A,F,Y,N,156.0,294.5,81.2,0
A,M,Y,Y,178.9,346.9,89.9,1
A,F,Y,N,163.3,301.7,84.6,0
B,M,N,Y,181.8,91.1,86.0,1
W,F,N,N,155.0,218.2,84.3,0
A,F,Y,N,159.3,304.8,81.3,0
B,F,N,N,168.1,77.3,85.6,1
W,M,N,Y,186.3,203.1,85.1,1
A,F,Y,N,164.9,327.2,86.9,1
B,M,N,Y,187.3,53.5,83.6,0
B,M,N,Y,168.7,73.3,89.5,1
B,F,N,N,150.3,94.5,88.5,1
A,M,Y,Y,181.2,302.3,86.6,1
B,F,N,N,154.5,122.5,81.3,0
W,M,N,Y,195.0,202.1,80.6,0
A,F,Y,N,155.4,303.0,83.2,0
A,F,Y,N,157.7,343.9,80.3,0
B,F,N,N,163.7,95.0,82.3,0
W,M,N,Y,177.4,199.5,88.4,1
B,F,N,N,161.4,106.0,89.0,1
A,F,Y,N,168.0,308.8,88.6,1
A,M,Y,Y,196.8,308.4,80.9,0
B,M,N,Y,193.1,80.6,87.1,1
B,F,N,N,151.3,71.4,84.9,0
B,M,N,Y,172.9,93.7,81.9,0
W,F,N,N,160.1,250.8,89.3,1
W,F,N,N,158.8,216.5,83.4,0
B,M,N,Y,180.1,69.7,83.0,0
B,M,N,Y,172.5,70.8,82.5,0
W,M,N,Y,191.9,261.0,84.8,0
B,M,N,Y,178.1,64.8,82.0,0
B,M,N,Y,187.1,124.1,80.6,0
W,F,N,N,159.0,257.0,81.1,0
B,M,N,Y,185.0,68.9,82.7,0
B,F,N,N,167.2,59.7,88.7,1
A,F,Y,N,167.8,289.0,83.7,0
B,M,N,Y,176.1,112.2,80.1,0
A,F,Y,N,155.1,326.8,81.0,0
B,M,N,Y,171.2,86.9,89.4,1
A,F,Y,N,164.8,296.7,89.4,1
W,M,N,Y,169.4,151.7,81.7,0
B,F,N,N,155.5,65.7,85.4,1
B,F,N,N,158.2,117.2,83.3,0
A,F,Y,N,151.3,280.9,86.8,1
W,M,N,Y,183.9,157.8,80.7,0
W,F,N,N,152.6,185.0,85.2,1
A,M,Y,Y,179.0,319.6,89.9,1
A,F,Y,N,159.0,312.5,88.5,1
B,M,N,Y,198.6,76.3,85.0,1
A,F,Y,N,155.5,349.1,88.5,1
A,M,Y,Y,182.6,301.2,80.3,0
A,F,Y,N,155.6,285.0,88.4,1
B,F,N,N,165.4,100.1,83.9,0
W,F,N,N,152.5,269.7,90.0,1
A,F,Y,N,166.9,290.9,80.3,0
A,F,Y,N,150.9,302.0,85.4,1
A,M,Y,Y,178.7,298.8,90.0,1
B,M,N,Y,196.8,95.5,86.0,1
B,F,N,N,150.2,83.8,89.0,1
B,M,N,Y,178.5,106.8,85.0,1
A,F,Y,N,155.5,346.5,81.9,0
B,F,N,N,152.7,114.8,81.1,0
A,F,Y,N,162.6,331.1,85.9,1
A,F,Y,N,162.8,322.2,88.7,1
A,F,Y,N,153.6,311.1,83.1,0
A,F,Y,N,160.5,304.8,88.4,1
A,F,Y,N,167.3,340.0,85.5,1
A,F,Y,N,164.8,316.3,83.9,0
A,F,Y,N,159.3,293.0,84.9,0
A,M,Y,Y,172.7,290.5,82.1,0
B,F,N,N,165.5,70.3,83.1,0
A,M,Y,Y,181.1,297.4,87.1,1
W,F,N,N,154.4,128.7,86.9,1
B,M,N,Y,175.6,94.9,83.2,0
W,M,N,Y,182.1,146.8,80.6,0
A,M,Y,Y,199.8,333.2,82.4,0
A,M,Y,Y,197.2,279.9,83.0,0
A,F,Y,N,152.2,333.9,82.6,0
B,F,N,N,159.3,80.4,82.0,0
B,M,N,Y,197.6,118.9,89.4,1
W,M,N,Y,199.2,237.7,84.7,0
W,F,N,N,162.3,178.7,88.2,1
A,F,Y,N,168.0,332.5,81.5,0
B,M,N,Y,174.5,67.7,88.3,1
W,M,N,Y,184.0,189.7,81.1,0
W,M,N,Y,181.7,235.7,89.4,1
A,M,Y,Y,199.2,312.2,85.0,1
W,F,N,N,150.5,246.9,83.2,0
B,F,N,N,165.5,91.5,86.7,1
B,M,N,Y,197.5,86.5,87.4,1
B,M,N,Y,180.3,103.8,81.6,0
W,F,N,N,157.1,171.7,81.4,0
A,M,Y,Y,187.2,276.2,85.2,1
A,M,Y,Y,196.7,342.4,85.9,1
B,M,N,Y,176.7,69.7,81.2,0
W,F,N,N,166.5,268.8,86.3,1
W,M,N,Y,178.9,129.0,80.7,0
A,F,Y,N,152.0,336.2,80.9,0
W,F,N,N,167.6,252.5,85.7,1
A,M,Y,Y,193.9,294.6,87.0,1
B,F,N,N,151.3,51.8,83.9,0
B,M,N,Y,182.1,116.5,86.1,1
A,M,Y,Y,177.9,292.3,87.7,1
W,M,N,Y,196.6,269.9,80.2,0
B,M,N,Y,185.6,52.5,89.6,1
W,F,N,N,151.5,214.9,86.2,1
A,M,Y,Y,186.3,313.9,81.6,0
A,F,Y,N,164.6,292.4,82.8,0
B,F,N,N,153.2,65.5,82.6,0
B,F,N,N,158.6,57.2,85.6,1
B,F,N,N,164.8,105.7,80.2,0
B,M,N,Y,196.1,55.7,85.2,1
W,F,N,N,163.5,266.7,82.3,0
B,M,N,Y,187.3,51.8,89.9,1
B,F,N,N,158.1,59.5,89.4,1
W,F,N,N,165.0,157.4,83.0,0
A,M,Y,Y,191.2,334.5,81.7,0
W,M,N,Y,197.4,188.1,84.8,0
B,M,N,Y,173.8,72.6,80.0,0
B,F,N,N,155.7,60.8,86.2,1
A,M,Y,Y,185.8,278.9,87.7,1
B,F,N,N,159.4,68.5,84.4,0
W,M,N,Y,189.7,157.4,82.9,0
W,M,N,Y,168.9,182.9,84.1,0
A,M,Y,Y,194.5,290.8,87.3,1
A,M,Y,Y,181.5,280.8,87.7,1
A,M,Y,Y,184.3,345.9,80.4,0
A,F,Y,N,153.0,330.4,89.8,1
B,M,N,Y,170.4,60.4,87.9,1
A,F,Y,N,151.4,337.5,86.4,1
A,M,Y,Y,188.9,321.2,84.1,0
A,M,Y,Y,193.1,301.0,84.3,0
A,M,Y,Y,196.6,300.0,80.3,0
W,F,N,N,163.2,271.9,86.9,1
B,F,N,N,160.9,111.9,85.1,1
A,M,Y,Y,183.8,286.7,86.6,1
W,M,N,Y,191.8,125.2,88.6,1
A,F,Y,N,163.6,290.8,87.0,1
W,F,N,N,152.6,266.4,84.7,0
B,M,N,Y,191.8,121.6,88.5,1
A,F,Y,N,162.7,291.2,84.0,0
B,M,N,Y,178.0,120.3,89.9,1
W,M,N,Y,185.2,216.5,81.7,0
B,M,N,Y,172.6,89.7,89.6,1
A,F,Y,N,158.0,336.1,81.5,0
A,F,Y,N,158.7,348.8,88.6,1
W,F,N,N,161.8,156.9,83.9,0
B,M,N,Y,197.2,70.5,85.0,1
W,M,N,Y,198.4,125.0,89.7,1
B,F,N,N,164.3,59.0,89.0,1
A,F,Y,N,152.2,292.7,88.8,1
W,F,N,N,163.5,128.4,83.1,0
W,F,N,N,166.7,150.6,84.4,0
B,M,N,Y,173.3,98.5,82.2,0
A,F,Y,N,155.5,347.7,81.3,0
A,F,Y,N,164.4,335.9,87.0,1
B,M,N,Y,192.8,52.8,86.4,1
B,F,N,N,152.7,114.6,86.5,1
W,F,N,N,167.2,208.3,84.6,0
A,F,Y,N,160.6,290.5,88.6,1
A,M,Y,Y,169.7,338.9,81.6,0
W,F,N,N,158.1,267.1,87.6,1
B,F,N,N,166.9,103.6,88.9,1
B,F,N,N,154.7,108.5,84.2,0
A,F,Y,N,156.8,294.0,89.2,1
W,F,N,N,162.7,243.8,81.9,0
A,M,Y,Y,196.2,339.8,82.8,0
A,F,Y,N,152.4,310.9,82.7,0
W,M,N,Y,195.4,154.8,89.5,1
A,F,Y,N,159.2,305.5,85.5,1
A,F,Y,N,161.9,311.8,86.1,1
W,M,N,Y,191.0,178.1,85.3,1
W,M,N,Y,196.5,242.0,87.8,1
A,F,Y,N,153.4,328.6,80.1,0
B,M,N,Y,181.6,110.0,85.2,1
A,F,Y,N,154.2,312.1,80.6,0
B,M,N,Y,193.2,114.6,82.6,0
B,M,N,Y,172.7,64.5,85.9,1
A,M,Y,Y,177.1,328.5,85.8,1
A,M,Y,Y,178.6,302.9,88.2,1
B,F,N,N,158.8,87.2,85.2,1
B,F,N,N,162.6,117.0,87.8,1
B,M,N,Y,183.2,68.1,82.3,0
A,M,Y,Y,193.5,288.9,88.1,1
B,M,N,Y,198.7,80.6,80.5,0
W,F,N,N,153.2,268.4,89.7,1
W,M,N,Y,174.1,238.2,81.4,0
A,F,Y,N,165.4,278.9,81.4,0
B,F,N,N,161.7,116.6,84.8,0
A,M,Y,Y,182.5,283.9,85.0,1
W,F,N,N,157.0,271.9,88.1,1
B,F,N,N,152.2,112.9,87.9,1
W,M,N,Y,179.7,135.9,85.1,1
A,F,Y,N,161.6,299.7,83.9,0
B,M,N,Y,190.6,90.7,85.1,1
A,F,Y,N,164.7,308.5,89.9,1
B,F,N,N,166.9,54.1,83.0,0
A,M,Y,Y,186.3,291.3,83.0,0
W,F,N,N,155.0,236.8,85.3,1
W,M,N,Y,171.1,247.9,84.0,0
W,M,N,Y,194.7,196.8,83.5,0
B,F,N,N,150.3,55.7,80.7,0
W,F,N,N,153.1,240.1,83.2,0
B,M,N,Y,171.2,119.5,80.4,0
A,F,Y,N,150.0,294.4,86.1,1
A,F,Y,N,161.1,345.5,88.8,1
B,M,N,Y,198.2,68.5,81.1,0
A,M,Y,Y,185.5,345.4,81.2,0
B,M,N,Y,171.7,101.1,85.2,1
B,F,N,N,167.0,99.0,89.5,1
W,F,N,N,163.4,127.6,84.5,0
A,F,Y,N,157.7,325.8,83.6,0
A,F,Y,N,160.5,319.6,87.9,1
B,F,N,N,153.2,82.9,86.3,1
B,F,N,N,158.6,105.8,89.7,1
B,M,N,Y,198.1,86.8,81.2,0
B,F,N,N,152.3,88.7,84.3,0
W,M,N,Y,176.6,185.4,87.4,1
A,F,Y,N,154.3,342.0,84.1,0
A,F,Y,N,156.7,341.7,86.9,1
A,F,Y,N,167.6,308.1,81.1,0
A,F,Y,N,165.4,345.2,89.4,1
A,M,Y,Y,180.5,283.6,80.6,0
B,F,N,N,155.4,95.2,86.8,1
A,M,Y,Y,191.0,279.6,87.1,1
W,F,N,N,159.9,257.5,85.0,1
W,F,N,N,161.9,129.5,80.3,0
A,M,Y,Y,187.5,298.4,87.2,1
B,M,N,Y,178.9,54.8,87.2,1
B,M,N,Y,185.6,79.5,87.2,1
W,F,N,N,157.8,241.8,82.2,0
W,M,N,Y,176.1,271.5,82.5,0
B,F,N,N,160.8,124.6,83.8,0
A,M,Y,Y,185.6,282.6,84.8,0
B,F,N,N,152.6,75.8,83.3,0
B,F,N,N,160.0,98.3,89.6,1
A,M,Y,Y,194.3,276.6,89.7,1
A,M,Y,Y,181.8,277.1,84.6,0
W,F,N,N,160.9,232.9,87.4,1
A,M,Y,Y,199.1,339.1,80.9,0
B,M,N,Y,188.8,98.1,81.3,0
W,F,N,N,150.6,125.9,89.5,1
A,F,Y,N,162.0,278.4,80.3,0
W,M,N,Y,176.4,137.9,83.8,0
W,M,N,Y,190.7,184.0,83.4,0
B,M,N,Y,199.9,122.8,87.7,1
A,F,Y,N,157.5,296.0,82.9,0
W,M,N,Y,184.4,201.2,87.2,1
A,F,Y,N,162.5,342.5,87.0,1
W,M,N,Y,180.6,130.2,82.4,0
B,F,N,N,162.6,97.1,87.7,1
W,F,N,N,151.7,273.7,83.1,0
A,F,Y,N,153.7,281.1,81.9,0
B,M,N,Y,196.0,77.7,88.8,1
B,M,N,Y,188.2,113.3,85.6,1
A,M,Y,Y,186.6,323.8,87.7,1
W,M,N,Y,178.4,145.7,84.8,0
W,F,N,N,162.5,202.4,86.9,1
A,M,Y,Y,168.7,316.4,88.6,1
A,F,Y,N,157.7,299.8,80.8,0
W,M,N,Y,194.0,266.4,84.3,0
W,M,N,Y,177.6,144.5,87.7,1
A,M,Y,Y,177.5,336.2,87.3,1
B,F,N,N,166.8,122.0,86.8,1
B,F,N,N,159.1,53.3,80.4,0
A,F,Y,N,153.7,281.6,82.5,0
A,F,Y,N,150.6,337.6,83.2,0
B,M,N,Y,181.6,89.6,85.3,1
B,M,N,Y,175.7,90.3,86.7,1
B,F,N,N,163.3,123.7,89.2,1
B,F,N,N,166.2,50.1,82.9,0
W,M,N,Y,188.1,253.1,88.4,1
A,M,Y,Y,177.3,348.0,88.4,1
B,F,N,N,153.7,119.1,82.1,0
A,F,Y,N,152.0,337.9,88.1,1
B,F,N,N,155.6,103.0,80.2,0
A,M,Y,Y,198.1,330.7,87.4,1
A,F,Y,N,162.0,348.2,89.8,1
W,M,N,Y,191.6,252.1,83.6,0
W,F,N,N,167.2,225.6,81.2,0
W,M,N,Y,181.8,211.0,81.0,0
W,M,N,Y,190.8,134.6,86.7,1
W,M,N,Y,177.0,175.2,81.4,0
B,M,N,Y,175.0,80.2,84.4,0
A,M,Y,Y,190.8,301.0,89.4,1
B,M,N,Y,187.1,58.2,80.8,0
W,F,N,N,156.9,160.5,80.7,0
B,M,N,Y,168.6,77.0,87.3,1
W,F,N,N,153.5,135.1,83.4,0
W,M,N,Y,171.6,219.0,80.7,0
W,M,N,Y,168.4,235.1,86.3,1
W,F,N,N,153.5,240.0,81.5,0
W,F,N,N,160.2,195.8,89.8,1
B,M,N,Y,187.0,61.0,87.2,1
B,F,N,N,163.2,81.0,89.4,1
B,M,N,Y,188.0,118.1,80.8,0
B,F,N,N,167.6,106.3,83.7,0
W,M,N,Y,169.8,217.5,81.0,0
A,M,Y,Y,170.7,344.9,84.8,0
A,M,Y,Y,188.1,340.1,81.7,0
A,M,Y,Y,191.6,319.2,81.9,0
A,M,Y,Y,176.5,316.5,89.5,1
W,M,N,Y,199.6,160.6,83.5,0
B,M,N,Y,178.4,115.6,83.7,0
A,F,Y,N,156.7,281.3,80.7,0
A,F,Y,N,158.3,323.9,88.6,1
B,F,N,N,158.5,122.9,80.5,0
W,M,N,Y,191.0,156.1,85.4,1
W,F,N,N,166.3,213.1,88.0,1
B,M,N,Y,193.1,112.1,85.3,1
B,F,N,N,164.9,104.2,80.4,0
W,M,N,Y,168.6,165.7,86.0,1
A,F,Y,N,160.7,275.7,88.8,1
A,F,Y,N,167.5,330.0,88.0,1
B,M,N,Y,168.9,113.0,80.2,0
B,F,N,N,157.4,109.7,84.0,0
A,F,Y,N,157.3,345.8,88.5,1
A,F,Y,N,163.3,322.9,82.1,0
A,M,Y,Y,180.0,317.2,86.4,1
B,M,N,Y,169.3,121.7,81.1,0
B,M,N,Y,197.1,72.6,88.7,1
B,M,N,Y,191.2,119.7,82.0,0
A,M,Y,Y,196.4,298.2,82.5,0
A,F,Y,N,166.0,346.0,81.4,0
B,F,N,N,151.8,66.3,88.7,1
A,M,Y,Y,171.5,325.6,83.4,0
W,M,N,Y,192.6,190.3,83.3,0
W,F,N,N,164.3,138.0,85.4,1
W,M,N,Y,186.0,257.2,83.5,0
A,M,Y,Y,197.4,339.4,83.3,0
B,F,N,N,162.7,58.1,87.1,1
W,M,N,Y,199.2,172.3,88.5,1
W,F,N,N,163.4,219.9,80.6,0
W,F,N,N,168.1,130.7,84.2,0
A,F,Y,N,159.4,315.8,85.2,1
A,M,Y,Y,192.8,330.0,87.3,1
W,M,N,Y,197.7,137.7,80.2,0
W,F,N,N,153.7,227.8,83.7,0
A,M,Y,Y,192.8,312.1,87.5,1
A,F,Y,N,156.7,316.8,83.7,0
B,M,N,Y,196.6,104.0,85.2,1
B,F,N,N,162.5,58.6,83.4,0
A,M,Y,Y,196.4,304.3,84.2,0
W,M,N,Y,173.1,237.3,84.7,0
B,M,N,Y,186.7,64.0,86.1,1
W,M,N,Y,192.7,127.0,83.1,0
W,M,N,Y,187.6,127.2,85.1,1
B,M,N,Y,192.4,116.1,86.3,1
W,M,N,Y,172.1,269.5,84.7,0
A,F,Y,N,158.1,343.8,84.6,0
W,M,N,Y,177.0,196.8,88.2,1
